Wall time,Step,Value
1686766799.7657483,0,0.8540014028549194
1686766821.8273768,1,0.9193834066390991
1686766840.475033,2,0.9263384342193604
1686766862.2443597,3,0.9272999167442322
1686766881.129066,4,0.9288843274116516
1686766897.7564862,5,0.9314693808555603
1686766913.805419,6,0.9323946237564087
1686766929.904277,7,0.9329655170440674
1686766945.129867,8,0.9341442584991455
1686766960.4372528,9,0.9336295127868652
1686766976.2312274,10,0.9339001178741455
1686766994.6975214,11,0.933992326259613
1686767011.0031486,12,0.9339553117752075
1686767026.666446,13,0.9343681335449219
1686767044.6301618,14,0.9343960285186768
1686767064.1904054,15,0.934556245803833
1686767083.2039762,16,0.9342125654220581
1686767100.2275121,17,0.9347463250160217
1686767116.3847363,18,0.9345206618309021
1686767134.3363428,19,0.9349990487098694
1686767152.7433357,20,0.9349366426467896
1686767170.289501,21,0.934294581413269
1686767186.5022683,22,0.9349554777145386
1686767203.4953237,23,0.9352821707725525
1686767227.2034762,24,0.9356451034545898
1686767249.9887366,25,0.9357255101203918
1686767268.2569752,26,0.9353966116905212
1686767286.516555,27,0.935063362121582
1686767307.0241177,28,0.9349103569984436
1686767325.4094162,29,0.9352534413337708
1686767346.8494518,30,0.9355213642120361
1686767365.347386,31,0.9354378581047058
1686767386.1493495,32,0.9357783794403076
1686767405.3654835,33,0.935573935508728
1686767425.4591167,34,0.9354011416435242
1686767445.6506386,35,0.9356899261474609
1686767465.3096263,36,0.935563862323761
1686767491.0660222,37,0.935075581073761
1686767510.1861658,38,0.9346013069152832
1686767528.1451833,39,0.9352356195449829
1686767545.2627645,40,0.9357679486274719
1686767563.7952356,41,0.936147153377533
1686767581.6242611,42,0.9357298612594604
1686767600.201378,43,0.9353143572807312
1686767616.9461007,44,0.9353201985359192
1686767636.38957,45,0.9360424280166626
1686767655.954362,46,0.9361571073532104
1686767675.3654559,47,0.935738205909729
1686767692.8071861,48,0.9362627863883972
1686767713.5543551,49,0.9360785484313965
1686767731.7515569,50,0.9362781047821045
1686767751.7948792,51,0.9371621012687683
1686767769.8897092,52,0.9369141459465027
1686767789.1363475,53,0.9365828037261963
1686767806.8531606,54,0.9370543956756592
1686767826.2769227,55,0.9367459416389465
1686767844.2710495,56,0.9368089437484741
1686767862.3566206,57,0.9363142848014832
1686767881.9985416,58,0.9368672370910645
1686767902.9284759,59,0.9365242123603821
1686767923.828473,60,0.9371965527534485
1686767941.4620063,61,0.937065064907074
1686767961.378454,62,0.9369686841964722
1686767979.8013453,63,0.9368451833724976
1686767998.705095,64,0.9371256232261658
1686768016.9502976,65,0.9371187090873718
1686768035.2669613,66,0.9368736147880554
1686768055.9724941,67,0.9367963075637817
1686768074.1804693,68,0.9373297691345215
1686768092.6819458,69,0.9375150203704834
1686768111.4018166,70,0.9369516968727112
1686768129.6953754,71,0.936710774898529
1686768149.0679383,72,0.9373676180839539
1686768167.7545416,73,0.9372195601463318
1686768185.8162844,74,0.9370637536048889
1686768206.5692043,75,0.9372861385345459
1686768225.1461844,76,0.9375068545341492
1686768244.3801672,77,0.9374584555625916
1686768264.9519506,78,0.9374061226844788
1686768283.5368571,79,0.9369972348213196
1686768301.967326,80,0.9372971057891846
1686768322.7225378,81,0.9373248219490051
1686768341.3200347,82,0.9376282691955566
1686768359.8641984,83,0.9372240304946899
1686768377.7779799,84,0.9378198981285095
1686768396.2820084,85,0.938263475894928
1686768414.909213,86,0.9378531575202942
1686768435.7957096,87,0.9378654956817627
1686768456.3078938,88,0.9370530843734741
1686768474.5505724,89,0.9378626346588135
1686768493.1478944,90,0.9374361038208008
