;rank;address;class;comments
0;36572,01;;;
1;35592,67;;;
2;34581,86;;;
3;32560,35;;;
4;31214,63;;;
5;28071,7;;;
6;24799,73;;;
7;23475,52;;;
8;22077,93;;;
9;20536,8;;;
10;20413,41;;;
11;20319,06;;;
12;20188,17;;;
13;18768,03;;;
14;18159,58;;;
15;17655,21;;;
16;16981,18;;;
17;16174,03;;;
18;16122,81;;;
19;15892,11;;;
20;15646,79;;;
