Wall time,Step,Value
1687166763.063319,0,0.0034303690772503614
1687167125.3934789,1,0.006451041903346777
1687167500.1550663,2,0.008212924934923649
1687167892.0351698,3,0.00877358764410019
1687168289.981038,4,0.009000946767628193
1687168665.2219317,5,0.009052623994648457
1687169147.9975483,6,0.00935043953359127
1687169628.203493,7,0.009399423375725746
1687170078.7259464,8,0.009628946892917156
1687170546.735851,9,0.009789945557713509
1687171001.290216,10,0.009820600040256977
1687171443.3290198,11,0.009679174050688744
1687171914.6281996,12,0.00971358735114336
1687172359.0396283,13,0.009757797233760357
