Wall time,Step,Value
1687117661.4164343,0,0.004802409093827009
1687117991.5514264,1,0.005435522645711899
1687118349.4507291,2,0.008441607467830181
1687118706.387826,3,0.009191221557557583
1687119058.5664065,4,0.010585153475403786
1687119409.3010218,5,0.010723128914833069
1687119772.5076413,6,0.010942397639155388
1687120165.1001832,7,0.01158814039081335
1687120550.303808,8,0.012261461466550827
1687120983.3567061,9,0.011168590746819973
1687121397.2179723,10,0.01103279460221529
1687121817.4521408,11,0.011378997005522251
1687122179.086682,12,0.011061077006161213
1687122549.2179003,13,0.011475727893412113
1687122962.2671604,14,0.011569391936063766
1687123375.7673674,15,0.012053909711539745
1687123770.049544,16,0.011705415323376656
1687124169.6982393,17,0.01277265977114439
1687124579.180135,18,0.012427053414285183
1687124994.3208404,19,0.012047654017806053
1687125412.4006498,20,0.012318491004407406
1687125879.3011868,21,0.012158649042248726
1687126334.267095,22,0.013216744177043438
1687126737.3069224,23,0.012930216267704964
1687127134.308335,24,0.011862760409712791
1687127537.174529,25,0.012599804438650608
1687127948.1269972,26,0.01229778490960598
1687128356.5877812,27,0.012706716544926167
1687128795.0979426,28,0.013744319789111614
1687129211.8505218,29,0.013456009328365326
1687129618.8104692,30,0.012680246494710445
1687130002.1467412,31,0.01242432463914156
1687130402.7862737,32,0.012622322887182236
1687130809.7783046,33,0.012877168133854866
1687131220.17327,34,0.012827684171497822
1687131626.9957063,35,0.0129097830504179
1687132037.4119968,36,0.012860765680670738
1687132452.2857068,37,0.011987402103841305
1687132878.316512,38,0.013429698534309864
1687133282.4990127,39,0.012652713805437088
1687133666.7407787,40,0.013837896287441254
1687134034.6296587,41,0.013268457725644112
1687134403.0863283,42,0.012162026017904282
