Wall time,Step,Value
1687155291.9885051,0,0.02667875774204731
1687155662.973424,1,0.012389366514980793
1687156030.601398,2,0.013592641800642014
1687156405.5514257,3,0.014395969919860363
1687156777.843267,4,0.015741705894470215
1687157145.6510036,5,0.01540460530668497
1687157518.5801387,6,0.01539746206253767
1687157887.8753018,7,0.016235584393143654
1687158264.4136236,8,0.017057113349437714
1687158644.4546938,9,0.015829110518097878
1687159014.7133875,10,0.01575411669909954
1687159384.591143,11,0.016004528850317
1687159754.8411076,12,0.015809623524546623
1687160136.8389378,13,0.01673159748315811
1687160507.0359547,14,0.015561601147055626
1687160875.0045376,15,0.01723850890994072
