;rank;address;class;comments
0;61702,3;;;
1;36213,13;;;
2;32178,24;;;
3;31894,59;;;
4;22284,64;;;
5;20413,16;;;
6;19945,75;;;
7;18630,95;;;
8;15707,13;;;
