Wall time,Step,Value
1687188800.6531386,0,0.879108190536499
1687189264.5899377,1,0.9396569728851318
1687189716.0333755,2,0.943213701248169
1687190122.7404764,3,0.9441260099411011
1687190519.1831353,4,0.9453386664390564
1687190968.9848075,5,0.9462413191795349
1687191430.9166412,6,0.946559727191925
1687191901.0016632,7,0.947024941444397
1687192371.351847,8,0.9471763968467712
1687192844.7814918,9,0.9472943544387817
1687193298.8300097,10,0.9474013447761536
1687193767.553246,11,0.9474176168441772
1687194226.7981012,12,0.9477213621139526
1687194656.3734436,13,0.947830080986023
1687195094.7960908,14,0.9478256106376648
