;rank;address;class;comments
0;26750,8;;;
1;26595,78;;;
2;24413,07;;;
3;23349,44;;;
4;22940,22;;;
5;21243,89;;;
6;20218,21;;;
7;19231,64;;;
8;18858,96;;;
9;18840,19;;;
10;17745,9;;;
11;17423,39;;;
12;17268,28;;;
13;17012,45;;;
14;16858,17;;;
15;16644,18;;;
16;15849,18;;;
17;15792,9;;;
18;15626,4;;;
19;15610,45;;;
20;15312,72;;;
