;rank;address;class;comments
0;93702,38;;;
1;86529,53;;;
2;78516,7;;;
3;78114,56;;;
4;68549,5;;;
5;63060,32;;;
6;61609,26;;;
7;55608,36;;;
8;53511,33;;;
9;52694,19;;;
10;52430,08;;;
11;47352,08;;;
12;42159,29;;;
13;40436,42;;;
14;39741,61;;;
15;39218,27;;;
16;38686,69;;;
17;36364,86;;;
18;34234,33;;;
19;32237,36;;;
20;30559,37;;;
21;28434,77;;;
22;26660,14;;;
23;25411,11;;;
24;24569,68;;;
25;24170,23;;;
26;20926,98;;;
27;19307,05;;;
28;19130,25;;;
29;16562,18;;;
30;16357,5;;;
31;15652,62;;;
