;rank;address;class;comments
0;30682,83;;;
1;28130,74;;;
2;26841,99;;;
3;24659,54;;;
4;24573,05;;;
5;21461,79;;;
6;20357,34;;;
7;20213,85;;;
8;19230,44;;;
9;17967,34;;;
10;15763,95;;;
11;15321,76;;;
